,start,end,pattern
,2020-01-02 09:55:00,2020-01-02 11:00:00,Double Top
,2020-01-02 10:00:00,2020-01-02 11:00:00,Double Top
,2020-01-02 10:45:00,2020-01-02 12:20:00,Double Top
,2020-01-03 13:35:00,2020-01-06 09:00:00,Double Top
,2020-01-03 13:40:00,2020-01-06 09:00:00,Double Top
,2020-01-03 14:05:00,2020-01-06 09:00:00,Double Bottom
,2020-01-03 14:40:00,2020-01-06 09:35:00,Double Bottom
,2020-01-06 10:05:00,2020-01-06 11:20:00,Double Top
,2020-01-07 12:25:00,2020-01-07 13:20:00,Double Bottom
,2020-01-08 10:25:00,2020-01-08 11:55:00,Double Top
,2020-01-08 10:45:00,2020-01-08 11:55:00,Double Top
,2020-01-08 11:30:00,2020-01-08 12:40:00,Double Top
,2020-01-08 12:50:00,2020-01-08 14:25:00,Double Top
,2020-01-09 11:00:00,2020-01-09 11:55:00,Double Top
,2020-01-09 11:35:00,2020-01-09 13:10:00,Double Top
,2020-01-09 11:40:00,2020-01-09 13:10:00,Double Top
,2020-01-10 10:05:00,2020-01-10 11:25:00,Double Top
,2020-01-15 09:55:00,2020-01-15 10:50:00,Double Bottom
,2020-01-16 14:10:00,2020-01-17 09:05:00,Double Bottom
,2020-01-17 13:45:00,2020-01-17 14:40:00,Double Bottom
,2020-01-20 10:35:00,2020-01-20 12:05:00,Double Top
,2020-01-20 10:35:00,2020-01-20 12:10:00,Double Top
,2020-01-20 14:45:00,2020-01-21 09:40:00,Double Bottom
,2020-01-22 13:35:00,2020-01-22 14:50:00,Double Top
,2020-01-22 14:35:00,2020-01-23 09:30:00,Double Bottom
,2020-01-23 09:50:00,2020-01-23 10:55:00,Double Bottom
,2020-01-23 11:25:00,2020-01-23 12:25:00,Double Top
,2020-01-23 11:30:00,2020-01-23 12:25:00,Double Top
,2020-01-23 13:25:00,2020-01-23 14:25:00,Double Bottom
,2020-01-27 10:55:00,2020-01-27 12:00:00,Double Bottom
,2020-01-27 11:00:00,2020-01-27 12:00:00,Double Bottom
,2020-01-27 14:50:00,2020-01-28 10:05:00,Double Top
,2020-01-28 13:40:00,2020-01-28 14:55:00,Double Top
,2020-01-29 14:40:00,2020-01-30 10:00:00,Double Top
,2020-01-29 14:55:00,2020-01-30 10:00:00,Double Top
,2020-01-30 11:30:00,2020-01-30 12:45:00,Double Top
,2020-02-04 14:00:00,2020-02-05 09:25:00,Double Top
,2020-02-04 14:00:00,2020-02-05 09:30:00,Double Top
,2020-02-05 14:40:00,2020-02-06 10:15:00,Double Top
,2020-02-06 13:00:00,2020-02-06 14:30:00,Double Top
,2020-02-06 14:40:00,2020-02-07 09:55:00,Double Bottom
,2020-02-06 14:45:00,2020-02-07 09:55:00,Double Bottom
,2020-02-07 12:45:00,2020-02-07 13:40:00,Double Top
,2020-02-10 11:15:00,2020-02-10 12:35:00,Double Top
,2020-02-11 14:20:00,2020-02-12 09:55:00,Double Top
,2020-02-12 11:25:00,2020-02-12 13:00:00,Double Top
,2020-02-13 10:15:00,2020-02-13 11:45:00,Double Top
,2020-02-13 10:25:00,2020-02-13 11:45:00,Double Top
,2020-02-13 13:10:00,2020-02-13 14:45:00,Double Top
,2020-02-17 13:30:00,2020-02-17 14:25:00,Double Bottom
,2020-02-17 13:40:00,2020-02-17 14:45:00,Double Top
,2020-02-20 10:30:00,2020-02-20 11:40:00,Double Top
,2020-02-20 11:50:00,2020-02-20 12:50:00,Double Bottom
,2020-02-20 11:55:00,2020-02-20 12:50:00,Double Bottom
,2020-02-20 14:00:00,2020-02-20 14:55:00,Double Bottom
,2020-02-24 11:25:00,2020-02-24 12:40:00,Double Top
,2020-02-25 11:05:00,2020-02-25 12:30:00,Double Top
,2020-02-26 10:30:00,2020-02-26 11:55:00,Double Top
,2020-02-26 11:05:00,2020-02-26 12:40:00,Double Top
,2020-02-27 13:20:00,2020-02-27 14:35:00,Double Top
,2020-02-28 10:20:00,2020-02-28 11:55:00,Double Top
,2020-02-28 10:35:00,2020-02-28 12:10:00,Double Top
,2020-03-03 12:10:00,2020-03-03 13:40:00,Double Top
,2020-03-04 10:55:00,2020-03-04 12:15:00,Double Top
,2020-03-04 12:50:00,2020-03-04 14:10:00,Double Top
,2020-03-04 12:55:00,2020-03-04 14:10:00,Double Top
,2020-03-06 10:00:00,2020-03-06 11:35:00,Double Top
,2020-03-06 12:35:00,2020-03-06 14:10:00,Double Top
,2020-03-12 14:40:00,2020-03-13 09:50:00,Double Top
,2020-03-13 14:35:00,2020-03-16 09:50:00,Double Top
,2020-03-13 14:50:00,2020-03-16 09:50:00,Double Top
,2020-03-16 09:20:00,2020-03-16 10:40:00,Double Top
,2020-03-18 12:15:00,2020-03-18 13:45:00,Double Top
,2020-03-18 12:20:00,2020-03-18 13:45:00,Double Top
,2020-03-18 13:20:00,2020-03-18 14:30:00,Double Top
,2020-03-18 13:25:00,2020-03-18 14:30:00,Double Bottom
,2020-03-18 13:30:00,2020-03-18 14:30:00,Double Bottom
,2020-03-18 14:00:00,2020-03-19 09:10:00,Double Top
,2020-03-19 10:25:00,2020-03-19 12:00:00,Double Top
,2020-03-19 10:35:00,2020-03-19 12:00:00,Double Top
,2020-03-19 11:45:00,2020-03-19 12:45:00,Double Bottom
,2020-03-23 11:50:00,2020-03-23 13:05:00,Double Top
,2020-03-23 14:45:00,2020-03-24 10:10:00,Double Top
,2020-03-23 14:50:00,2020-03-24 10:10:00,Double Top
,2020-03-25 13:35:00,2020-03-25 14:30:00,Double Bottom
,2020-03-30 11:15:00,2020-03-30 12:20:00,Double Bottom
,2020-04-01 09:45:00,2020-04-01 11:05:00,Double Top
,2020-04-01 10:05:00,2020-04-01 11:05:00,Double Bottom
,2020-04-01 10:10:00,2020-04-01 11:05:00,Double Bottom
,2020-04-03 09:40:00,2020-04-03 10:40:00,Double Bottom
,2020-04-03 10:15:00,2020-04-03 11:35:00,Double Top
,2020-04-03 11:30:00,2020-04-03 12:55:00,Double Top
,2020-04-03 11:50:00,2020-04-03 12:55:00,Double Bottom
,2020-04-07 10:55:00,2020-04-07 12:00:00,Double Top
,2020-04-07 11:50:00,2020-04-07 13:25:00,Double Top
,2020-04-08 14:05:00,2020-04-09 09:40:00,Double Top
,2020-04-08 14:10:00,2020-04-09 09:40:00,Double Top
,2020-04-09 12:30:00,2020-04-09 13:25:00,Double Bottom
,2020-04-10 11:10:00,2020-04-10 12:05:00,Double Top
,2020-04-13 10:10:00,2020-04-13 11:05:00,Double Top
,2020-04-13 10:45:00,2020-04-13 12:05:00,Double Top
,2020-04-13 10:45:00,2020-04-13 12:10:00,Double Top
,2020-04-13 14:25:00,2020-04-14 09:20:00,Double Top
,2020-04-14 13:40:00,2020-04-14 14:35:00,Double Bottom
,2020-04-15 13:45:00,2020-04-15 14:50:00,Double Top
