',start,end,pattern
0,2020-01-02 12:10:00,2020-01-02 13:35:00,Double Top
0,2020-01-02 12:10:00,2020-01-02 13:35:00,Double Top
0,2020-01-02 12:55:00,2020-01-02 13:50:00,Double Top
0,2020-01-02 13:45:00,2020-01-02 14:55:00,Double Top
0,2020-01-08 11:30:00,2020-01-08 12:55:00,Double Top
0,2020-01-08 12:15:00,2020-01-08 13:35:00,Double Top
0,2020-01-09 11:40:00,2020-01-09 13:10:00,Double Top
0,2020-01-13 09:20:00,2020-01-13 10:25:00,Double Top
0,2020-01-14 12:40:00,2020-01-14 13:45:00,Double Top
0,2020-01-15 12:35:00,2020-01-15 13:55:00,Double Top
0,2020-01-16 09:35:00,2020-01-16 11:00:00,Double Top
0,2020-01-16 09:55:00,2020-01-16 11:00:00,Double Top
0,2020-01-16 10:45:00,2020-01-16 11:40:00,Double Top
0,2020-01-16 10:45:00,2020-01-16 11:40:00,Double Top
0,2020-01-16 11:20:00,2020-01-16 12:45:00,Double Top
0,2020-01-16 11:20:00,2020-01-16 12:50:00,Double Top
0,2020-01-20 09:15:00,2020-01-20 10:45:00,Double Top
0,2020-01-20 14:45:00,2020-01-21 09:45:00,Double Top
0,2020-01-22 13:15:00,2020-01-22 14:25:00,Double Top
0,2020-01-22 13:15:00,2020-01-22 14:25:00,Double Top
0,2020-01-22 14:55:00,2020-01-23 10:05:00,Double Top
0,2020-01-24 13:15:00,2020-01-24 14:40:00,Double Top
0,2020-01-28 14:45:00,2020-01-29 10:20:00,Double Top
0,2020-01-29 10:40:00,2020-01-29 12:00:00,Double Top
0,2020-01-30 13:25:00,2020-01-30 14:45:00,Double Top
0,2020-01-30 13:25:00,2020-01-30 14:45:00,Double Top
0,2020-02-04 13:10:00,2020-02-04 14:35:00,Double Top
0,2020-02-04 13:10:00,2020-02-04 14:40:00,Double Top
0,2020-02-07 12:00:00,2020-02-07 13:20:00,Double Top
0,2020-02-07 12:00:00,2020-02-07 13:25:00,Double Top
0,2020-02-11 13:55:00,2020-02-12 09:25:00,Double Top
0,2020-02-11 13:55:00,2020-02-12 09:25:00,Double Top
0,2020-02-12 12:50:00,2020-02-12 13:45:00,Double Top
0,2020-02-12 12:50:00,2020-02-12 13:45:00,Double Top
0,2020-02-17 09:35:00,2020-02-17 11:10:00,Double Top
0,2020-02-17 14:10:00,2020-02-18 09:25:00,Double Top
0,2020-02-19 12:10:00,2020-02-19 13:40:00,Double Top
0,2020-02-20 12:40:00,2020-02-20 14:15:00,Double Top
0,2020-02-21 12:55:00,2020-02-21 14:30:00,Double Top
0,2020-02-21 13:25:00,2020-02-21 14:55:00,Double Top
0,2020-02-24 13:15:00,2020-02-24 14:15:00,Double Top
0,2020-02-24 13:55:00,2020-02-25 09:20:00,Double Top
0,2020-02-25 11:25:00,2020-02-25 12:35:00,Double Top
0,2020-02-25 12:00:00,2020-02-25 13:05:00,Double Top
